,uuid,title,description,station,station_code,show_priority,show_times,since,till
755,234bd317-d992-37a7-879d-8ae61857aae9,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 16:06:00+02:00,2023-06-09 17:00:00+02:00
756,3c5df04e-71bc-3c09-b3ee-e4282fdbb10a,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 17:06:00+02:00,2023-06-09 18:00:00+02:00
757,610a7292-6d17-3582-aff9-9a9dcca9c82f,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 18:33:30+02:00,2023-06-09 19:00:00+02:00
758,5514a805-d992-3b9a-bb42-d2bd8ce84b59,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 19:06:00+02:00,2023-06-09 20:00:00+02:00
759,ed7c2e40-8ab2-3740-aa95-3b02a8dd6b92,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 13:06:00+02:00,2023-06-12 14:00:00+02:00
760,89c6aaa4-af5c-364f-9d02-d45c84d61ae0,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 14:06:00+02:00,2023-06-12 15:00:00+02:00
761,112302ff-aca0-3c2e-9e7e-c68d0e808487,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 15:06:00+02:00,2023-06-12 16:00:00+02:00
762,e765d552-46bc-3b86-b58b-c32f41bf5aca,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 16:06:00+02:00,2023-06-12 17:00:00+02:00
763,67bac55d-29b5-3552-8c5a-51d9026eee36,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 17:06:00+02:00,2023-06-12 18:00:00+02:00
764,bf030417-b81e-364b-930f-f0807a401f66,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 18:33:30+02:00,2023-06-12 19:00:00+02:00
765,557936bc-e42a-3583-8e2d-ebb225dd01e2,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-12 19:06:00+02:00,2023-06-12 20:00:00+02:00
766,a66f2e96-4ab3-347e-b693-4140abb6269c,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 13:06:00+02:00,2023-06-13 14:00:00+02:00
767,dba963da-822e-3560-898b-b3a0a61415f6,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 14:06:00+02:00,2023-06-13 15:00:00+02:00
768,0d744997-f075-3ff0-b3a8-c0eba80b9046,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 15:06:00+02:00,2023-06-13 16:00:00+02:00
769,824dc75e-4cf1-37e4-80fb-1f838cd0d2b4,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 16:06:00+02:00,2023-06-13 17:00:00+02:00
770,f3eee089-6570-3644-98e3-69fa2b25bed4,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 17:06:00+02:00,2023-06-13 18:00:00+02:00
771,d3933be2-aea3-3846-9348-71ee0c7a3d58,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 18:33:30+02:00,2023-06-13 19:00:00+02:00
772,94dfa3ba-d26e-31e2-a6bb-19e4c1d13659,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-13 19:06:00+02:00,2023-06-13 20:00:00+02:00
773,6e777ee8-f738-3f5f-9a2c-eecda4670246,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 13:06:00+02:00,2023-06-14 14:00:00+02:00
